Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên,Tên món ăn,Carbohydrate,Calories,Protein,Sugar,Fiber dietary,Vitamin C,Vitamin D,Vitamin B12,Calcium,Iron,Cholesterol,Phosphorous,Folic acid,Saturated fat,Potassium,Sodium,Tiêu đề_lower,Nguyên liệu_lower,Sơ chế_lower,Thực hiện_lower,Cách dùng_lower,Mách nhỏ_lower,Thực đơn_lower,Tên món ăn_lower
Sườn non om chuối,"Sườn non   300g, Đậu hũ chiên 1 miếng, Cà chua  3 trái, Chuối xanh  3 trái, Mắm tôm  1M, Bột nghệ  1M, Lá tía tô, hành lá, Tỏi băm  Muối, tiêu xay, dầu ăn, Giấm gạo lên men ""Ajinomoto"", Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Sườn non   300g, Đậu hũ chiên 1 miếng, Cà chua  3 trái, Chuối xanh  3 trái, Mắm tôm  1M, Bột nghệ  1M, Lá tía tô, hành lá, Tỏi băm  Muối, tiêu xay, dầu ăn, Giấm gạo lên men ""Ajinomoto"", Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,"Đun nóng dầu ăn, cho tỏi vào phi thơm, rồi cho sườn vào xào chín, thêm 1.2 lít nước vào nấu khoảng 15 phút. Tiếp tục cho chuối, đậu hũ, cà chua và nêm 1/2m bột ngọt AJI-NO-MOTO® , 2M giấm gạo lên men của Ajinomoto, 1M mắm tôm vào, nấu thêm 10 phút, cho các nguyên liệu thấm vị, tắt lửa.","Múc món ăn ra dĩa, cho lá tía tô, hành lá và rắc tiêu lên trên, dùng nóng.","Ướp bột nghệ vào sườn giúp dậy mùi thơm và tạo màu sắc đẹp cho món om.Chuối xanh chỉ tước vỏ chứ không gọt, để chuối không bị nát.",,,Sườn non om chuối,8.75,162.5,10.0,3.0,2.0,7.5,0.0,0.125,20.0,1.0,30.0,87.5,6.25,3.75,175.0,200.0,sườn non om chuối,"sườn non   300g, đậu hũ chiên 1 miếng, cà chua  3 trái, chuối xanh  3 trái, mắm tôm  1m, bột nghệ  1m, lá tía tô, hành lá, tỏi băm  muối, tiêu xay, dầu ăn, giấm gạo lên men ""ajinomoto"", bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo, sườn non   300g, đậu hũ chiên 1 miếng, cà chua  3 trái, chuối xanh  3 trái, mắm tôm  1m, bột nghệ  1m, lá tía tô, hành lá, tỏi băm  muối, tiêu xay, dầu ăn, giấm gạo lên men ""ajinomoto"", bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo",nan,"đun nóng dầu ăn, cho tỏi vào phi thơm, rồi cho sườn vào xào chín, thêm 1.2 lít nước vào nấu khoảng 15 phút. tiếp tục cho chuối, đậu hũ, cà chua và nêm 1/2m bột ngọt aji-no-moto® , 2m giấm gạo lên men của ajinomoto, 1m mắm tôm vào, nấu thêm 10 phút, cho các nguyên liệu thấm vị, tắt lửa.","múc món ăn ra dĩa, cho lá tía tô, hành lá và rắc tiêu lên trên, dùng nóng.","ướp bột nghệ vào sườn giúp dậy mùi thơm và tạo màu sắc đẹp cho món om.chuối xanh chỉ tước vỏ chứ không gọt, để chuối không bị nát.",nan,sườn non om chuối
Cải thảo xào tôm khô,"Cải thảo      300g, Cà rốt      50g, Nấm mèo đen    1 tai lớn, Tôm khô loại to    50g, Thịt ba rọi      100g, Hành lá   3 cây, Tỏi băm    1M, Ớt sừng cắt sợi, Nước mắm, dầu ăn, tiêu, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo, Cải thảo      300g, Cà rốt      50g, Nấm mèo đen    1 tai lớn, Tôm khô loại to    50g, Thịt ba rọi      100g, Hành lá   3 cây, Tỏi băm    1M, Ớt sừng cắt sợi, Nước mắm, dầu ăn, tiêu, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo",,"Xào cải: phi thơm tỏi với 2M dầu ăn, cho thịt ba rọi vào xào tươm mỡ rồi cho tôm khô vào, nêm 2m giấm gạo lên men từ Ajinomoto. Cho cải thảo, cà rốt , nấm mèo vào xào, cho thêm 2M nước, nêm 2m hạt nêm Aji-ngon®, 1m bột ngọt AJI-NO-MOTO®, 1/2m tiêu, 1/2m nước mắm, xào rau vừa chín thì cho hành lá vào đảo đều rồi tắt lửa.","Cho cải thảo xào tôm khô ra dĩa trình bày, trang trí với ớt sừng cắt sợi, dùng nóng.",Giấm gạo lên men từ Ajinomoto làm tăng độ giòn và hương vị của món ăn.,,,Cải thảo xào tôm khô,6.25,87.5,6.25,2.5,1.25,10.0,0.0,0.125,20.0,0.5,20.0,50.0,12.5,2.0,125.0,200.0,cải thảo xào tôm khô,"cải thảo      300g, cà rốt      50g, nấm mèo đen    1 tai lớn, tôm khô loại to    50g, thịt ba rọi      100g, hành lá   3 cây, tỏi băm    1m, ớt sừng cắt sợi, nước mắm, dầu ăn, tiêu, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto"", hạt nêm aji-ngon® heo, cải thảo      300g, cà rốt      50g, nấm mèo đen    1 tai lớn, tôm khô loại to    50g, thịt ba rọi      100g, hành lá   3 cây, tỏi băm    1m, ớt sừng cắt sợi, nước mắm, dầu ăn, tiêu, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto"", hạt nêm aji-ngon® heo",nan,"xào cải: phi thơm tỏi với 2m dầu ăn, cho thịt ba rọi vào xào tươm mỡ rồi cho tôm khô vào, nêm 2m giấm gạo lên men từ ajinomoto. cho cải thảo, cà rốt , nấm mèo vào xào, cho thêm 2m nước, nêm 2m hạt nêm aji-ngon®, 1m bột ngọt aji-no-moto®, 1/2m tiêu, 1/2m nước mắm, xào rau vừa chín thì cho hành lá vào đảo đều rồi tắt lửa.","cho cải thảo xào tôm khô ra dĩa trình bày, trang trí với ớt sừng cắt sợi, dùng nóng.",giấm gạo lên men từ ajinomoto làm tăng độ giòn và hương vị của món ăn.,nan,cải thảo xào tôm khô
Vịt nấu sake,"Thịt vịt : 900g, Sake : 200g, Chao đỏ : 1M, Chao trắng : 1M, Rau muống cọng : 300g, Sả đập dập cắt khúc : 3 cây, Hành tây : 1/2 củ, Nước dừa tươi : 1.5 lít, Hành tỏi băm, Bún, Muối, tiêu, đường, dầu ăn, dầu màu điều, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Gà, Thịt vịt : 900g, Sake : 200g, Chao đỏ : 1M, Chao trắng : 1M, Rau muống cọng : 300g, Sả đập dập cắt khúc : 3 cây, Hành tây : 1/2 củ, Nước dừa tươi : 1.5 lít, Hành tỏi băm, Bún, Muối, tiêu, đường, dầu ăn, dầu màu điều, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Gà",,,,Chiên sake trước khi nấu để sake có mùi thơm hấp dẫn và không bị nát.Chao đỏ tạo màu đẹp mắt cho món ăn.,,,Vịt nấu sake,,,,,,,,,,,,,,,,,vịt nấu sake,"thịt vịt : 900g, sake : 200g, chao đỏ : 1m, chao trắng : 1m, rau muống cọng : 300g, sả đập dập cắt khúc : 3 cây, hành tây : 1/2 củ, nước dừa tươi : 1.5 lít, hành tỏi băm, bún, muối, tiêu, đường, dầu ăn, dầu màu điều, bột ngọt aji-no-moto®, hạt nêm aji-ngon® gà, thịt vịt : 900g, sake : 200g, chao đỏ : 1m, chao trắng : 1m, rau muống cọng : 300g, sả đập dập cắt khúc : 3 cây, hành tây : 1/2 củ, nước dừa tươi : 1.5 lít, hành tỏi băm, bún, muối, tiêu, đường, dầu ăn, dầu màu điều, bột ngọt aji-no-moto®, hạt nêm aji-ngon® gà",nan,nan,nan,chiên sake trước khi nấu để sake có mùi thơm hấp dẫn và không bị nát.chao đỏ tạo màu đẹp mắt cho món ăn.,nan,vịt nấu sake
Mực xào ớt khô Caramen,"Mực lá: 400g, Ớt chuông vàng: 1/2 trái, Hành tây: 1/2 củ, Hành lá: 2 cọng, Ớt chuông đỏ:  1/2 trái, Ớt khô ngâm mềm: 5 trái, Tỏi băm: 2M, Tương ớt, dầu ăn, nước mắm, rượu trắng, tiêu xay, đường., Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Mực lá: 400g, Ớt chuông vàng: 1/2 trái, Hành tây: 1/2 củ, Hành lá: 2 cọng, Ớt chuông đỏ:  1/2 trái, Ớt khô ngâm mềm: 5 trái, Tỏi băm: 2M, Tương ớt, dầu ăn, nước mắm, rượu trắng, tiêu xay, đường., Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ""",,,,Khử rượu trắng để tạo được mùi thơm cho món ăn.Thắng caramen khi xào để gia vị bám vào nguyên liệu và tạo độ bóng óng ánh hấp dẫn hơn.,,,Mực xào ớt khô Caramen,,,,,,,,,,,,,,,,,mực xào ớt khô caramen,"mực lá: 400g, ớt chuông vàng: 1/2 trái, hành tây: 1/2 củ, hành lá: 2 cọng, ớt chuông đỏ:  1/2 trái, ớt khô ngâm mềm: 5 trái, tỏi băm: 2m, tương ớt, dầu ăn, nước mắm, rượu trắng, tiêu xay, đường., bột ngọt aji-no-moto®, nước tương ""phú sĩ"", mực lá: 400g, ớt chuông vàng: 1/2 trái, hành tây: 1/2 củ, hành lá: 2 cọng, ớt chuông đỏ:  1/2 trái, ớt khô ngâm mềm: 5 trái, tỏi băm: 2m, tương ớt, dầu ăn, nước mắm, rượu trắng, tiêu xay, đường., bột ngọt aji-no-moto®, nước tương ""phú sĩ""",nan,nan,nan,khử rượu trắng để tạo được mùi thơm cho món ăn.thắng caramen khi xào để gia vị bám vào nguyên liệu và tạo độ bóng óng ánh hấp dẫn hơn.,nan,mực xào ớt khô caramen
Canh măng giò heo,"Thịt giò heo: 400g, Măng tươi: 200g, Hành tím: 3 củ, Hành ngò, ớt sừng Muối, tiêu Nước mắm, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Thịt giò heo: 400g, Măng tươi: 200g, Hành tím: 3 củ, Hành ngò, ớt sừng Muối, tiêu Nước mắm, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,,"Cách lựa giò heo: lựa giò heo chân trước sẽ nhiều thịt hơn chân sau.Để giò heo săn, giòn và trắng: khi nấu chân giò nửa chừng ta nên vớt ra, ngâm vào nước lạnh cho nguội, sau đó cho thịt trở lại nấu tiếp đến khi chín mềm.Luộc măng qua nước sôi, ngâm vào nước lạnh rồi để cho ráo nước.",,,Canh măng giò heo,,,,,,,,,,,,,,,,,canh măng giò heo,"thịt giò heo: 400g, măng tươi: 200g, hành tím: 3 củ, hành ngò, ớt sừng muối, tiêu nước mắm, dầu ăn, bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo, thịt giò heo: 400g, măng tươi: 200g, hành tím: 3 củ, hành ngò, ớt sừng muối, tiêu nước mắm, dầu ăn, bột ngọt aji-no-moto®, hạt nêm aji-ngon® heo",nan,nan,nan,"cách lựa giò heo: lựa giò heo chân trước sẽ nhiều thịt hơn chân sau.để giò heo săn, giòn và trắng: khi nấu chân giò nửa chừng ta nên vớt ra, ngâm vào nước lạnh cho nguội, sau đó cho thịt trở lại nấu tiếp đến khi chín mềm.luộc măng qua nước sôi, ngâm vào nước lạnh rồi để cho ráo nước.",nan,canh măng giò heo
Cuốn chay đậu hũ rau rừng,"Đậu hủ trắng: 300g	(2 miếng bìa lớn), Củ hũ dừa: 100g, Rau rừng: 100g, Bánh tráng mỏng: 80g	(12 cái), Ớt hiểm: 1 trái, Boarô cắt lát: 1M, Nước tương ""Phú Sĩ"": 1M (16g), Đường: 1m (5g), Hạt nêm: 1/2m (1.5g), Bột ngọt:	1/3M (1.7g), Dầu ăn: 2M (20g), Tương đen: 1M (10g), Hạt nêm Aji-ngon® Nấm, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Đậu hủ trắng: 300g	(2 miếng bìa lớn), Củ hũ dừa: 100g, Rau rừng: 100g, Bánh tráng mỏng: 80g	(12 cái), Ớt hiểm: 1 trái, Boarô cắt lát: 1M, Nước tương ""Phú Sĩ"": 1M (16g), Đường: 1m (5g), Hạt nêm: 1/2m (1.5g), Bột ngọt:	1/3M (1.7g), Dầu ăn: 2M (20g), Tương đen: 1M (10g), Hạt nêm Aji-ngon® Nấm, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ""",,"Phi thơm boarô với 2M dầu ăn, cho tiếp củ hủ dừa vào xào khoảng 3 phút, cho tiếp đậu hũ cắt sợi vào xào. Nêm 1/2m Hạt nêm Aji-ngon® NẤM, 1/2m bột ngọt, 1m đường, 1 ít tiêu. Thấm ướt bánh tráng, thêm rau rừng, nhân đã xào vào, cuộn lại, cắt khúc vừa ăn. Nước chấm: 1M dầu 1M đậu phộng xay 1M tương đen 1M nước tương, 1/3m bột ngọt , 1/2M tương ớt, 2m đường, 2M nước, 1m dầu mè.","Xếp cuốn ra dĩa, chấm nước chấm và ớt cắt lát.",Lựa chọn đa dạng các loại rau rừng sẽ giúp cho món ăn có hương vị đặc biệt hơn.Sử dụng củ hũ dừa giúp món ăn đặc sắc hơn.,,,Cuốn chay đậu hũ rau rừng,10.0,105.0,7.0,2.0,1.75,3.75,0.0,0.0,45.0,1.0,0.0,75.0,7.5,0.75,112.5,200.0,cuốn chay đậu hũ rau rừng,"đậu hủ trắng: 300g	(2 miếng bìa lớn), củ hũ dừa: 100g, rau rừng: 100g, bánh tráng mỏng: 80g	(12 cái), ớt hiểm: 1 trái, boarô cắt lát: 1m, nước tương ""phú sĩ"": 1m (16g), đường: 1m (5g), hạt nêm: 1/2m (1.5g), bột ngọt:	1/3m (1.7g), dầu ăn: 2m (20g), tương đen: 1m (10g), hạt nêm aji-ngon® nấm, bột ngọt aji-no-moto®, nước tương ""phú sĩ"", đậu hủ trắng: 300g	(2 miếng bìa lớn), củ hũ dừa: 100g, rau rừng: 100g, bánh tráng mỏng: 80g	(12 cái), ớt hiểm: 1 trái, boarô cắt lát: 1m, nước tương ""phú sĩ"": 1m (16g), đường: 1m (5g), hạt nêm: 1/2m (1.5g), bột ngọt:	1/3m (1.7g), dầu ăn: 2m (20g), tương đen: 1m (10g), hạt nêm aji-ngon® nấm, bột ngọt aji-no-moto®, nước tương ""phú sĩ""",nan,"phi thơm boarô với 2m dầu ăn, cho tiếp củ hủ dừa vào xào khoảng 3 phút, cho tiếp đậu hũ cắt sợi vào xào. nêm 1/2m hạt nêm aji-ngon® nấm, 1/2m bột ngọt, 1m đường, 1 ít tiêu. thấm ướt bánh tráng, thêm rau rừng, nhân đã xào vào, cuộn lại, cắt khúc vừa ăn. nước chấm: 1m dầu 1m đậu phộng xay 1m tương đen 1m nước tương, 1/3m bột ngọt , 1/2m tương ớt, 2m đường, 2m nước, 1m dầu mè.","xếp cuốn ra dĩa, chấm nước chấm và ớt cắt lát.",lựa chọn đa dạng các loại rau rừng sẽ giúp cho món ăn có hương vị đặc biệt hơn.sử dụng củ hũ dừa giúp món ăn đặc sắc hơn.,nan,cuốn chay đậu hũ rau rừng
Bò nhúng giấm,"Thịt bò phi lê: 400g, Dừa xiêm tươi: 1 trái, Hành tây: 1 củ, Sả: 4 cây, Hành tím: 5 củ, Mắm nêm: 1/8 chén, Thơm: ½ trái, Tỏi, ớt băm, Bánh tráng, bún, dưa leo, xà lách, rau thơm, khế, chuối chát,, Đường, muối, dầu ăn,, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Thịt bò phi lê: 400g, Dừa xiêm tươi: 1 trái, Hành tây: 1 củ, Sả: 4 cây, Hành tím: 5 củ, Mắm nêm: 1/8 chén, Thơm: ½ trái, Tỏi, ớt băm, Bánh tráng, bún, dưa leo, xà lách, rau thơm, khế, chuối chát,, Đường, muối, dầu ăn,, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto""",,,,"Cách phân biệt thịt bò, thịt trâu: Thịt bò màu hồng tươi, xớ mịn, mỡ vàng. Thịt trâu màu đỏ sâm, xớ to, mỡ trắng.Để thịt bò vào ngăn đá một ngày, rã đông còn hơi cứng, thịt sẽ dễ cắt mỏng và mềm hơn.",,,Bò nhúng giấm,,,,,,,,,,,,,,,,,bò nhúng giấm,"thịt bò phi lê: 400g, dừa xiêm tươi: 1 trái, hành tây: 1 củ, sả: 4 cây, hành tím: 5 củ, mắm nêm: 1/8 chén, thơm: ½ trái, tỏi, ớt băm, bánh tráng, bún, dưa leo, xà lách, rau thơm, khế, chuối chát,, đường, muối, dầu ăn,, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto"", thịt bò phi lê: 400g, dừa xiêm tươi: 1 trái, hành tây: 1 củ, sả: 4 cây, hành tím: 5 củ, mắm nêm: 1/8 chén, thơm: ½ trái, tỏi, ớt băm, bánh tráng, bún, dưa leo, xà lách, rau thơm, khế, chuối chát,, đường, muối, dầu ăn,, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto""",nan,nan,nan,"cách phân biệt thịt bò, thịt trâu: thịt bò màu hồng tươi, xớ mịn, mỡ vàng. thịt trâu màu đỏ sâm, xớ to, mỡ trắng.để thịt bò vào ngăn đá một ngày, rã đông còn hơi cứng, thịt sẽ dễ cắt mỏng và mềm hơn.",nan,bò nhúng giấm
Lòng heo xào thơm,"Gan heo : 100g, Tim heo : 100g, Lòng non : 100g, Thơm : 1/4 trái, Ớt Đà Lạt đỏ : 1/2 trái, Cần tây : 50g, Hành tây : 1/2 củ, Hành tỏi băm, Gừng, hành lá, rau răm, ngò rí, Đường, muối, tiêu, dầu ăn, rượu trắng, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Heo, Giấm gạo lên men ""Ajinomoto"", Gan heo : 100g, Tim heo : 100g, Lòng non : 100g, Thơm : 1/4 trái, Ớt Đà Lạt đỏ : 1/2 trái, Cần tây : 50g, Hành tây : 1/2 củ, Hành tỏi băm, Gừng, hành lá, rau răm, ngò rí, Đường, muối, tiêu, dầu ăn, rượu trắng, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Heo, Giấm gạo lên men ""Ajinomoto""",,,,"Chần lòng non trước với nước sôi có ít gừng và giấm giúp lòng được trắng và giữ được độ giòn.Khử lòng bằng rượu trắng giúp lòng thơm hơn.Chọn gan bột, mịn, có màu vàng sáng là gan ngon.",,,Lòng heo xào thơm,,,,,,,,,,,,,,,,,lòng heo xào thơm,"gan heo : 100g, tim heo : 100g, lòng non : 100g, thơm : 1/4 trái, ớt đà lạt đỏ : 1/2 trái, cần tây : 50g, hành tây : 1/2 củ, hành tỏi băm, gừng, hành lá, rau răm, ngò rí, đường, muối, tiêu, dầu ăn, rượu trắng, nước tương ""phú sĩ"", hạt nêm aji-ngon® heo, giấm gạo lên men ""ajinomoto"", gan heo : 100g, tim heo : 100g, lòng non : 100g, thơm : 1/4 trái, ớt đà lạt đỏ : 1/2 trái, cần tây : 50g, hành tây : 1/2 củ, hành tỏi băm, gừng, hành lá, rau răm, ngò rí, đường, muối, tiêu, dầu ăn, rượu trắng, nước tương ""phú sĩ"", hạt nêm aji-ngon® heo, giấm gạo lên men ""ajinomoto""",nan,nan,nan,"chần lòng non trước với nước sôi có ít gừng và giấm giúp lòng được trắng và giữ được độ giòn.khử lòng bằng rượu trắng giúp lòng thơm hơn.chọn gan bột, mịn, có màu vàng sáng là gan ngon.",nan,lòng heo xào thơm
Salad trộn xốt phô mai cay,"Trứng luộc 2 quả, Xà lách Iceberg 80g, Xà lách Romaine 40g, Xà lách lolo 40g, Cà chua bi 80g, Dưa leo baby 80g, Xốt phô mai cay “Aji-Xốt”​, Trứng luộc 2 quả, Xà lách Iceberg 80g, Xà lách Romaine 40g, Xà lách lolo 40g, Cà chua bi 80g, Dưa leo baby 80g, Xốt phô mai cay “Aji-Xốt”​",,"Trộn đều xà lách, dưa leo, cà chua, để trong tủ mát.","Khi ăn: xếp trứng lên trên, rưới Xốt phô mai cay “Aji-Xốt” béo cay hài hòa, món salad thêm cuốn.",,,,Salad trộn xốt phô mai cay,7.0,170.0,8.0,3.5,2.0,12.5,0.5,0.5,40.0,1.0,185.0,125.0,40.0,4.0,225.0,200.0,salad trộn xốt phô mai cay,"trứng luộc 2 quả, xà lách iceberg 80g, xà lách romaine 40g, xà lách lolo 40g, cà chua bi 80g, dưa leo baby 80g, xốt phô mai cay “aji-xốt”​, trứng luộc 2 quả, xà lách iceberg 80g, xà lách romaine 40g, xà lách lolo 40g, cà chua bi 80g, dưa leo baby 80g, xốt phô mai cay “aji-xốt”​",nan,"trộn đều xà lách, dưa leo, cà chua, để trong tủ mát.","khi ăn: xếp trứng lên trên, rưới xốt phô mai cay “aji-xốt” béo cay hài hòa, món salad thêm cuốn.",nan,nan,salad trộn xốt phô mai cay
Chả giò khoai tây trứng muối,"Tôm tươi lột vỏ    100g, Mực tươi    100g, Khoai tây tím    500g, Hành tây    50g, Bánh tráng bò bía tươi   1 xấp, Trứng vịt muối    5 quả, Hành lá     2 cây, Hành tím băm    1M, ĂN KÈM: Salad dầu giấm, Dầu ăn, sữa chua, tương cà, dầu mè đen, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Tôm tươi lột vỏ    100g, Mực tươi    100g, Khoai tây tím    500g, Hành tây    50g, Bánh tráng bò bía tươi   1 xấp, Trứng vịt muối    5 quả, Hành lá     2 cây, Hành tím băm    1M, ĂN KÈM: Salad dầu giấm, Dầu ăn, sữa chua, tương cà, dầu mè đen, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,"Xếp chả giò khoai tây trứng muối ra dĩa kèm với salad dầu giấm, khi ăn chấm kèm với xốt mayonnaise trộn.",Xào hải sản lửa lớn để không bị ra nước.Ướp trứng muối với dầu mè để trứng muối được thơm ngon hơn.,,,Chả giò khoai tây trứng muối,20.0,187.5,12.5,3.75,2.0,6.25,0.25,0.375,25.0,0.75,100.0,100.0,12.5,2.5,175.0,200.0,chả giò khoai tây trứng muối,"tôm tươi lột vỏ    100g, mực tươi    100g, khoai tây tím    500g, hành tây    50g, bánh tráng bò bía tươi   1 xấp, trứng vịt muối    5 quả, hành lá     2 cây, hành tím băm    1m, ăn kèm: salad dầu giấm, dầu ăn, sữa chua, tương cà, dầu mè đen, hạt nêm aji-ngon® heo, xốt mayonnaise aji-mayo® vị nguyên bản, tôm tươi lột vỏ    100g, mực tươi    100g, khoai tây tím    500g, hành tây    50g, bánh tráng bò bía tươi   1 xấp, trứng vịt muối    5 quả, hành lá     2 cây, hành tím băm    1m, ăn kèm: salad dầu giấm, dầu ăn, sữa chua, tương cà, dầu mè đen, hạt nêm aji-ngon® heo, xốt mayonnaise aji-mayo® vị nguyên bản",nan,nan,"xếp chả giò khoai tây trứng muối ra dĩa kèm với salad dầu giấm, khi ăn chấm kèm với xốt mayonnaise trộn.",xào hải sản lửa lớn để không bị ra nước.ướp trứng muối với dầu mè để trứng muối được thơm ngon hơn.,nan,chả giò khoai tây trứng muối
Miến trộn hải sản,"Miến dong Thái (đã ngâm) 300g, Tôm sú 300g, Mực ống	200g, Hành tây tím 50g, Ớt sừng 1 trái, Lá quế 2 nhánh, Ngò gai 2 nhánh, Cần Tây 1 cây, Cà rốt 100g (1/3 củ), Đậu phộng rang gi 10g (1M), Gia vị: Nước mắm, đường vàng, tương ớt chua ngọt, tương ớt, dầu tỏi phi , đậu phộng rang, hành phi, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo, Miến dong Thái (đã ngâm) 300g, Tôm sú 300g, Mực ống	200g, Hành tây tím 50g, Ớt sừng 1 trái, Lá quế 2 nhánh, Ngò gai 2 nhánh, Cần Tây 1 cây, Cà rốt 100g (1/3 củ), Đậu phộng rang gi 10g (1M), Gia vị: Nước mắm, đường vàng, tương ớt chua ngọt, tương ớt, dầu tỏi phi , đậu phộng rang, hành phi, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo",,,"Trộn đều xốt cùng miến, các loại rau củ, tôm, mực, rắc 1M đậu phộng rang giã, hành phi, ngò rí và thưởng thức.","🧑‍🍳 Lá quế và ngò gai thêm vào xốt trộn giúp cho xốt có mùi thơm đặc trưng hơn🧑‍🍳 Miến sau khi chần xong nên ngâm vào nước đá để sợi miến tơi, không bết dính🧑‍🍳 Dùng giấm gạo lên men Ajinomoto giúp khử tanh và tăng hương vị cho hải sản","Thực đơn giảm khối mỡ thừa của cơ thể
1400 kcal. G:P:L=57:18:25
BỮA ĂN | NĂNG LƯỢNG | MÓN ĂN | KHẨU PHẦN
Sáng | 450 | Canh Bún Sườn Riêu Cua | 1 khẩu phần
Tráng miệng: Chuối | 1.5 trái
Trưa | 500 | Cơm | 1 chén cơm
Canh khoai tím hột lựu | 1/2 khẩu phần
Nấm đùi gà hấp cải xanh | 1 khẩu phần
Ốc xào khế | 1 khẩu phần
Chiều | 350 | Miến trộn hải sản (300 kcal)
Tráng miệng: Đu đủ | 150g
Phụ 1 | 100 | Khoai lang | 1/2 củ trung bình",,Miến trộn hải sản,21.25,137.5,11.25,3.75,1.25,3.75,0.0,0.375,20.0,1.0,50.0,87.5,7.5,0.75,125.0,200.0,miến trộn hải sản,"miến dong thái (đã ngâm) 300g, tôm sú 300g, mực ống	200g, hành tây tím 50g, ớt sừng 1 trái, lá quế 2 nhánh, ngò gai 2 nhánh, cần tây 1 cây, cà rốt 100g (1/3 củ), đậu phộng rang gi 10g (1m), gia vị: nước mắm, đường vàng, tương ớt chua ngọt, tương ớt, dầu tỏi phi , đậu phộng rang, hành phi, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto"", hạt nêm aji-ngon® heo, miến dong thái (đã ngâm) 300g, tôm sú 300g, mực ống	200g, hành tây tím 50g, ớt sừng 1 trái, lá quế 2 nhánh, ngò gai 2 nhánh, cần tây 1 cây, cà rốt 100g (1/3 củ), đậu phộng rang gi 10g (1m), gia vị: nước mắm, đường vàng, tương ớt chua ngọt, tương ớt, dầu tỏi phi , đậu phộng rang, hành phi, bột ngọt aji-no-moto®, giấm gạo lên men ""ajinomoto"", hạt nêm aji-ngon® heo",nan,nan,"trộn đều xốt cùng miến, các loại rau củ, tôm, mực, rắc 1m đậu phộng rang giã, hành phi, ngò rí và thưởng thức.","🧑‍🍳 lá quế và ngò gai thêm vào xốt trộn giúp cho xốt có mùi thơm đặc trưng hơn🧑‍🍳 miến sau khi chần xong nên ngâm vào nước đá để sợi miến tơi, không bết dính🧑‍🍳 dùng giấm gạo lên men ajinomoto giúp khử tanh và tăng hương vị cho hải sản","thực đơn giảm khối mỡ thừa của cơ thể
1400 kcal. g:p:l=57:18:25
bữa ăn | năng lượng | món ăn | khẩu phần
sáng | 450 | canh bún sườn riêu cua | 1 khẩu phần
tráng miệng: chuối | 1.5 trái
trưa | 500 | cơm | 1 chén cơm
canh khoai tím hột lựu | 1/2 khẩu phần
nấm đùi gà hấp cải xanh | 1 khẩu phần
ốc xào khế | 1 khẩu phần
chiều | 350 | miến trộn hải sản (300 kcal)
tráng miệng: đu đủ | 150g
phụ 1 | 100 | khoai lang | 1/2 củ trung bình",miến trộn hải sản
