Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên
Sò điệp xào bông hẹ mayonnaise,"Cồi sò điệp loại to: 200g, Bông hẹ non: 200g, Ớt sừng: 1 trái, Hành tỏi băm, Ngò rí, bột bắp, Tiêu, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Gà, Cồi sò điệp loại to: 200g, Bông hẹ non: 200g, Ớt sừng: 1 trái, Hành tỏi băm, Ngò rí, bột bắp, Tiêu, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Gà",,,,"Áo sơ sò điệp với Aji-quick® Bột Chiên Gà Giòn giúp sò điệp chín tới, giòn và không mất nước.Xào lửa lớn giúp món xào chín nhanh, giữ nước ngọt bên trong nguyên liệu.",,
Bó củi bào ngư,"Thịt đùi heo  100g, Chả lụa   50g, Bào ngư hộp  1 hộp, Trứng gà chiên, cắt sợi  2 quả, Tôm sú luộc  150g (bóc vỏ, chừa đuôi), Cải bẹ xanh  80g (lấy phần lá), Bông hẹ chần   30 cọng, Dưa leo  1 quả, Gừng ngâm chua cắt sợi, ớt sừng cắt sợi, Rau thơm các loại, Nước dừa tươi, đậu phộng rang giã bể, Hành tỏi băm, ớt hiểm băm, Đường, ngũ vị hương, cái bỗng rượu, mật ong, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ"", Thịt đùi heo  100g, Chả lụa   50g, Bào ngư hộp  1 hộp, Trứng gà chiên, cắt sợi  2 quả, Tôm sú luộc  150g (bóc vỏ, chừa đuôi), Cải bẹ xanh  80g (lấy phần lá), Bông hẹ chần   30 cọng, Dưa leo  1 quả, Gừng ngâm chua cắt sợi, ớt sừng cắt sợi, Rau thơm các loại, Nước dừa tươi, đậu phộng rang giã bể, Hành tỏi băm, ớt hiểm băm, Đường, ngũ vị hương, cái bỗng rượu, mật ong, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ""",,,"Xếp cuốn bào ngư ra dĩa, chấm với nước chấm.","Kết hợp cải bẹ xanh với dưa gừng giúp món ăn cân bằng về hàn nhiệt.Sên bỗng rượu với mật ong, giúp bỗng rượu dịu lại và thơm hơn.",,
Bún xào chay,"Bún gạo khô: 200g, Cà rốt: 50g, Nấm linh chi: 50g, Cần tây: 1 cọng, Hành boaro:  1/2 cây, Đậu hũ chiên: 1 miếng, Tàu hũ ki: 1 lá, Ớt hiểm, sa tế, muối, đường, tiêu, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Bún gạo khô: 200g, Cà rốt: 50g, Nấm linh chi: 50g, Cần tây: 1 cọng, Hành boaro:  1/2 cây, Đậu hũ chiên: 1 miếng, Tàu hũ ki: 1 lá, Ớt hiểm, sa tế, muối, đường, tiêu, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ""",,,,"Bún gạo chỉ nâm mềm, không nên trụng nước sôi nếu không sẽ bị nát.Chiên tàu hũ ki với lửa vừa, nếu to quá sẽ cháy khét, nhỏ quá sẽ bị dai.Cho bún gạo và xào nhanh tay với lửa lớn để bún không bị bết lại.",,
Salad Nga,"Thịt nguội: 1 lát, Trứng gà: 2 quả, Cà rốt: 1 củ, Đậu bi: 50g, Ngò tây: 1nhánh, Khoai tây: 2 củ, Muối, tiêu, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Thịt nguội: 1 lát, Trứng gà: 2 quả, Cà rốt: 1 củ, Đậu bi: 50g, Ngò tây: 1nhánh, Khoai tây: 2 củ, Muối, tiêu, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,,Khi luộc trứng nên khuấy nhẹ để giữ lòng đỏ ở giữa.Rau củ sau khi luộc xong nên ngâm vào nước đã để giữ độ giòn và màu sắc.,,
Bắp bò xào sả ớt cơm cháy,"Bắp bò                300g, Sả băm               2M, Sả cây bào mỏng        1 cây, Tỏi băm               1M, Ớt băm                1m, Cơm trắng            1 chén, Đầu hành lá, ớt sừng cắt sợi, mỡ hành, Tiêu, đường, ngũ vị hương, Bột cà ri, dầu điều, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Bắp bò                300g, Sả băm               2M, Sả cây bào mỏng        1 cây, Tỏi băm               1M, Ớt băm                1m, Cơm trắng            1 chén, Đầu hành lá, ớt sừng cắt sợi, mỡ hành, Tiêu, đường, ngũ vị hương, Bột cà ri, dầu điều, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo","Bắp bò để tủ đá 15 phút, lấy ra cắt mỏng, ướp với 1/3m ngũ vị hương, 1/3m bột cà ri, 1/2m bột ngọt AJI-NO-MOTO®, 1/2M hạt nêm Aji-ngon®, 1M dầu điều, 1M sả băm, 1 M tỏi băm trộn đều, để thấm.",,"Cho bắp bò ra dĩa, rắc ít tiêu, ăn kèm với cơm cháy.",Làm cơm cháy khi cơm còn nóng thì độ kết dính sẽ tốt hơn.Xào nhanh tay với lửa lớn để thịt bò không bị dai và ra nhiều nước.,,
Giò heo kho nấm đông cô,"Giò heo: 800g, Nấm đông cô khô: 50g, Ớt hiểm khô:  5 trái, Tỏi: 10 tép, Dừa: 1 trái, Hành tím băm, nước hành tỏi, Dầu ăn, tiêu đen bể, muối, dầu hào, Bột ngọt AJI-NO-MOTO®, Giò heo: 800g, Nấm đông cô khô: 50g, Ớt hiểm khô:  5 trái, Tỏi: 10 tép, Dừa: 1 trái, Hành tím băm, nước hành tỏi, Dầu ăn, tiêu đen bể, muối, dầu hào, Bột ngọt AJI-NO-MOTO®",,,,"Chiên giò heo để tạo mùi thơm, độ săn, giảm chất béo.Ướp nấm đông cô để loại bỏ bớt độ nồng của nấm và tạo mùi thơm cho món ăn.",,
Thịt vịt xào củ cải muối,"Ức vịt (không xương, còn da): 250 g (khứa, áp chảo), Dưa gừng Nhật (màu hồng): 50 g, Củ cải muối (loại sợi): 180g (đã ngâm và vắt ráo cho khỏi mặn), Ớt Đà Lạt vàng: 50 g, Hành tây: 1/2 củ, Nước dừa tươi: 1/2 chén, Cà bi: 100 g, Gừng: 50 g (Cắt sợi nhuyễn), Hành tỏi băm: 1M, RAU NÊM:	Hành lá, ngò rí, Gia vị: dầu ăn, đường, tiêu, muối, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo, Ức vịt (không xương, còn da): 250 g (khứa, áp chảo), Dưa gừng Nhật (màu hồng): 50 g, Củ cải muối (loại sợi): 180g (đã ngâm và vắt ráo cho khỏi mặn), Ớt Đà Lạt vàng: 50 g, Hành tây: 1/2 củ, Nước dừa tươi: 1/2 chén, Cà bi: 100 g, Gừng: 50 g (Cắt sợi nhuyễn), Hành tỏi băm: 1M, RAU NÊM:	Hành lá, ngò rí, Gia vị: dầu ăn, đường, tiêu, muối, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo",,,Món ăn ngon đi kèm:Canh cá hồng,"Thịt vịt có tính hàn nên kết hợp với gừng tạo ấm, giúp cân bằng hàn nhiệt chomón ăn.Chiêngừng sợi trước giúp dầu thơm ngon hợn khi xào.Ngâm củ cải muối với nước có pha muối giúp giảm mặn trong củ cải nhanh hơn.",,
Pancake khoai lang mật ong,"Khoai lang tím: 200g, Kem tươi: 70g, Bơ lạt: 30g, Mật ong: 50g, Hạt dẻ cười: 30g, RAU NÊM: húng lủi, Dụng cụ: túi tam giác bắt kem, Bột bánh rán pha sẵn vị truyền thống, Khoai lang tím: 200g, Kem tươi: 70g, Bơ lạt: 30g, Mật ong: 50g, Hạt dẻ cười: 30g, RAU NÊM: húng lủi, Dụng cụ: túi tam giác bắt kem, Bột bánh rán pha sẵn vị truyền thống",,,"Xếp bánh rán ra dĩa, cho nhân lên lần lượt 3 lớp bánh, trang trí với hạt dẻ cười rắc lên mặt.",Tán khoai khi còn nóng sẽ giúp cho khoai dễ mịn hơn.Rang sơ hạt dẻ cười giúp món ăn được thơm hơn.,,
Củ sen chiên tôm,"Củ sen : 600g, Tôm tươi: 200g, Giò sống: 250g, Trứng gà: 2 quả, Bột xù: 100g, Bột mì: 150g, Đường, tiêu, Hành, tỏi bằm, ngò rí, ớt, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Ngọt Dịu, Củ sen : 600g, Tôm tươi: 200g, Giò sống: 250g, Trứng gà: 2 quả, Bột xù: 100g, Bột mì: 150g, Đường, tiêu, Hành, tỏi bằm, ngò rí, ớt, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Ngọt Dịu",,,,"Củ sen to, có máu nhạt, còn tươi.Nên chiên ở lửa vừa, khi món ăn vừa chín tăng lửa lên để món ăn được giòn.",,
Bí xanh nhồi sườn hấp,"Bí đao xanh : 1 trái, Giò sống : 50g, Sườn non : 150g, Nấm hương cắt sợi : 1M, Hành tím nướng : 2 củ, Ớt sừng băm, Ngò rí, Gừng cắt sợi, Bột năng, dầu mè, dầu hào, Tiêu, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Bí đao xanh : 1 trái, Giò sống : 50g, Sườn non : 150g, Nấm hương cắt sợi : 1M, Hành tím nướng : 2 củ, Ớt sừng băm, Ngò rí, Gừng cắt sợi, Bột năng, dầu mè, dầu hào, Tiêu, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®",,,,Chọn sườn non dày thịt và xương nhỏ để hấp mau mềm.Dùng nước om sườn và nước hấp để làm xốt giúp món ăn có hương vị đậm đà.,,
Canh chua Thái,"Tôm càng lóng: 8 con, Nấm rơm: 200g, Hành tím củ: 100g, Cà chua chín đỏ: 2 quả, Lá chúc: 8 Lá, Sả cây: 2 cây, Ớt hiểm: 10 quả, Gừng sợi: 1M, Riềng sợi: 2M, Nước dừa: 500ml, Cốt dừa: 1 chén nhỏ, Cốt chanh: 1M, RAU NÊM: Ngò rí, ĂN KÈM:	Cơm, bún, Gia vị: Dầu điều, nước mắm, muối, đường, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Giấm gạo lên men ""Ajinomoto"", Tôm càng lóng: 8 con, Nấm rơm: 200g, Hành tím củ: 100g, Cà chua chín đỏ: 2 quả, Lá chúc: 8 Lá, Sả cây: 2 cây, Ớt hiểm: 10 quả, Gừng sợi: 1M, Riềng sợi: 2M, Nước dừa: 500ml, Cốt dừa: 1 chén nhỏ, Cốt chanh: 1M, RAU NÊM: Ngò rí, ĂN KÈM:	Cơm, bún, Gia vị: Dầu điều, nước mắm, muối, đường, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Giấm gạo lên men ""Ajinomoto""",,"Rang thơm càng tôm, vỏ tôm, cho thêm 0,5l nước nấu trong 5 phút, lược lại làm nước dùng.Xàothơm gừng, riềng, sả, ớt với dầu điều. Cho hành, nấm rơm vào xào nhanh. Thêm nước dừa + nước để đủ 1l nêm 2M Giấm gạo lên men, 1M cốt chanh, 1/2m hạt nêm heo, 1M đường, 1/2M bột ngọt, 1/4M muối, 4M nước mắm nếm vị chua mặn vừa ăn. Cho tôm, xé lá chanh vào nấu tôm chín, sau cùng cho cốt dừa vào đảo đều, tắt bếp hoàn tất.","Cho canh ra tô rắc ngò lên trên, dùng nóng với cơm hay bún miến v.v.. Món ăn ngon đi kèm:Sườn non kho củ sen",Lôt bỏ vỏ mình tôm để tôm thấm vị nhưng vẫn giữ được nguyên con tôm.Món canhtrông hấp dẫn hơn.Cho cả giấm và chanh tạo vị chua hài hòa.Cho cốt dừa và lá chúc sau cùng để giữ được vị béo và thơm đặc trưng của nguyên liệu.,,
Canh sườn nha đam,"Sườn non		 	200g, Nha đam		 	1 bẹ lớn, Đậu xanh nguyên hạt		 50g, Kỷ tử		 		10g, Hành lá		 		2 nhánh, Ngò rí		 		2 cây, RAU NÊM: hành ngò, ĂN KÈM: Nước mắm, ớt lát, Gia vị: dầu ăn, nước mắm, muối, tiêu, đường, Hạt nêm Aji-ngon® Heo, Sườn non		 	200g, Nha đam		 	1 bẹ lớn, Đậu xanh nguyên hạt		 50g, Kỷ tử		 		10g, Hành lá		 		2 nhánh, Ngò rí		 		2 cây, RAU NÊM: hành ngò, ĂN KÈM: Nước mắm, ớt lát, Gia vị: dầu ăn, nước mắm, muối, tiêu, đường, Hạt nêm Aji-ngon® Heo",,"Xào săn sườn với 1M dầu ăn, thêm 1,5 lít nước, đậu xanh, nêm 1M Hạt nêm Aji-ngon® Heo, 1/2m muối, 1m đường vào nấu nhỏ lửa cho sườn, đậu xanh chín mềm. Cuối cùng cho nha đam và 1/2M nước mắm, tắt lửa.","Múc canh ra tô rắc hành ngò, kỷ tử và tiêu xanh, dùng nóng với cơm.","Rửa nha đam qua nước muối để nha đam bớt nhớt và không bị đắng.Xào sơ sườn để thấm vị, miếng sườn sẽ thơm và ngọt thịt.Dùng đậu xanh nguyên vỏ để giữ chất xơ.",,
Gỏi gà cần tây,"Gà ta: 1/2 con (500g), Cần tây: 100g, Đậu rồng non: 100g, Cà rốt: 1.5 củ (150g), Hành tây tím: 1/2 củ (50g), Bánh tráng mè: 1.5 cái đã nướng (90g), Đường: 1M (10g), Mè: 1M (8g), Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản:	20g, Hành phi:	2g, Muối: 1/2m (2g), Bột ngọt: 1.5m (8.5g), Nước mắm: 1M (8ml), Gạo nấu cháo: 3/4 chén (140g), Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gà ta: 1/2 con (500g), Cần tây: 100g, Đậu rồng non: 100g, Cà rốt: 1.5 củ (150g), Hành tây tím: 1/2 củ (50g), Bánh tráng mè: 1.5 cái đã nướng (90g), Đường: 1M (10g), Mè: 1M (8g), Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản:	20g, Hành phi:	2g, Muối: 1/2m (2g), Bột ngọt: 1.5m (8.5g), Nước mắm: 1M (8ml), Gạo nấu cháo: 3/4 chén (140g), Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản","🐔 Sơ chế gà: luộc chín trong nước có thêm 1m hạt nêm, 2 củ hành tím nướng, gỡ thịt, xé sợi. Ướp thịt gà với 1/2m tiêu, 1/2m Bột ngọt AJI-NO-MOTO®, 2m nước chanh, hành tây tím cắt sợi. 🍅🥬Sơ chế rau: Đậu rồng và cần tây cắt lát xéo, ngò gai húng lủi cắt nhỏ.","🥣 Pha nước trộn gỏi:1/2m muối, 1m Bột ngọt AJI-NO-MOTO®, 1M đường, 1/2M nước cốt chanh, 1m tỏi, ớt băm tùy, 1M nước mắm. 🥗 Trộn thịt gà với đậu rồng, cần tây, cà rốt, nươc trộn gỏi, 3M Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, ớt sợi. Cuối cùng là mè rang, hành phi, rau húng lủi, ngò gai.",Trình bày ra đĩa và ăn kèm bánh tráng mè nướng. 🍽️ Món ăn ngon đi kèm:Cháo gà (nấu 140g gạo – 2/3 chén ăn cơm với nước dùng và huyết gà cắt hột lựu nhỏ) 🍩 Tráng miệng:Bánh rán chocolate đậu đỏ,"Sau khi luộc gà, để nguội rồi mới xé thịt đểgiữ nước ngọt bên trong thịt gà.Để các loại rau vào tủ mát trước khi trộnrau sẽ giòn và ngon hơn.",,
