Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên,Translated_Ingredients
Xôi gà,"Nếp Bắc: 2 chén, Đậu phộng: 50g, Lạp xưởng: 2 cây, Thịt gà góc tư: 1 miếng, Ớt hiểm: 2 trái, Dầu ăn, Hành lá, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Gà, Nếp Bắc: 2 chén, Đậu phộng: 50g, Lạp xưởng: 2 cây, Thịt gà góc tư: 1 miếng, Ớt hiểm: 2 trái, Dầu ăn, Hành lá, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Gà",,,,Ướp nước tương vào thịt gà giúp màu sắc món gà nướng đẹp hơn.Lạp xuởng khi luộc thêm ít Giấm gạo lên men LISA® để tạo độ giòn ngon hơn.,,,"North sticky rice: 2 cups, peanuts: 50g, sausage: 2 trees, chicken corner corner: 1 piece, chili peppers: 2 fruits, cooking oil, scallions, soy sauce ""Fuji"", Aji-ngon® seasoning seeds, North sticky rice: 2 cups, peanuts: 50g, sausage: 2 trees, chicken corner corner: 1 piece, chili peppers: 2 fruits, cooking oil, green onions, soy sauce"
Salad mực măng tây,"Măng tây : 400g, Mực ống : 300g, Cà chua bi nhiều màu : 100g, Ngò rí : 30g, Tỏi băm : 2M, Hành tím băm	: 1M, Hành tây tím : 30g, Hạt điều rang : 50g, Gia vị: Đường, muối, tiêu trắng, dầu, dầu mè, Giấm gạo lên men ""Ajinomoto"", Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Măng tây : 400g, Mực ống : 300g, Cà chua bi nhiều màu : 100g, Ngò rí : 30g, Tỏi băm : 2M, Hành tím băm	: 1M, Hành tây tím : 30g, Hạt điều rang : 50g, Gia vị: Đường, muối, tiêu trắng, dầu, dầu mè, Giấm gạo lên men ""Ajinomoto"", Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn",,"Áp chảo măng tây:Cho 1M dầu ăn vào chảo sau đó cho cà chua bi cắt đôi vào áp chảo, trút ra. Phết 1 lớp dầu mỏng lên măng tây, nướng cho chín đều trong lúc nướng rắc thêm ít muối lên trên. Chiên mực:Mực ống cắt khoanh dày 3cm sau đó tẩm Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn và chiên ngập dầu với lửa lớn, vớt ra giấy thấm dầu. Pha xốt:Cho 1M dầu ăn vào chảo sau đó cho 1M hành tỏi băm vào phi thơm. Tiếp theo, cho 2M nước và 2M Giấm gạo lên men Ajinomoto vào cùng 2M đường và 1/4m muối vào đun sôi tiếp theo cho thêm vài giọt dầu mè. Trình bày:",Món ăn ngon đi kèm:Thịt bò nướng mè kiểu Hàn Quốc,"✅ Áp chảo cà chua và hành tây giúp tăng độ giòn ngọt cho nguyên liệu.✅ Nướng nguyên cây măng tây để giữ được nước ngọt, độ giòn của măng.",,,"Asparagus: 400g, squid: 300g, multicolored tomatoes: 100g, cilantro: 30g, minced garlic: 2m, minced shallots: 1m, purple onion: 30g, roasted cashew nuts: 50g, spices: sugar, salt, white pepper, oil, fermented rice vinegar ""ajinomoto : 100g, cilantro: 30g, minced garlic: 2m, minced shallots: 1m, purple onion: 30g, roasted cashew nuts: 50g, spices: sugar, salt, white pepper, oil, sesame oil, fermented rice vinegar ""ajinomoto"", Aji-qutu"
Lẩu bò thảo mộc,"Thịt nạm bò	200g, Bò phi lê	 150g, Bò viên	 100g, Kỷ tử	 10g, Táo đỏ		 5 trái, Đẳng sâm		 1 cọng (5g), Rau mồng tơi	 200g, Rau má	 200g, Khoai môn	150g, ĂN KÈM:	Ăn trưa, Mì vàng, chao, sa tế, Tráng miệng Quýt, Gia vị nêm sẵn Aji-Quick® Lẩu Bò, Thịt nạm bò	200g, Bò phi lê	 150g, Bò viên	 100g, Kỷ tử	 10g, Táo đỏ		 5 trái, Đẳng sâm		 1 cọng (5g), Rau mồng tơi	 200g, Rau má	 200g, Khoai môn	150g, ĂN KÈM:	Ăn trưa, Mì vàng, chao, sa tế, Tráng miệng Quýt, Gia vị nêm sẵn Aji-Quick® Lẩu Bò",,,"Khi ăn thêm các nguyên liệu thịt bò và rau vào nhúng nước lẩu, dùng kèm mì vàng, chấm chao sa tế.","✅ Luộc thịt nạm bò với vài lát gừng, hành tím và sả giúp món ăn thơm ngon hơn.✅ Dùng Gia vị nêm sẵn Aji-Quick Lẩu bò để tiết kiệm thời gian và món ăn có hương vị thơm ngon.","THỰC ĐƠN BỔ MÁU
2100 kcal. G:P:L=52:18:30
BỮA ĂN | NĂNG LƯỢNG | MÓN ĂN | THÀNH PHẦN NGUYÊN LIỆU
Sáng | 600 | Cơm tấm sườn mayonnaise | 1 khẩu phần
Tráng miệng: Yaourt trái cây | Mỗi người 1 hủ
Trưa | 650 | Mì vàng | Mỗi người 75g
Lẩu bò thảo mộc (330 kcal)
Tráng miệng: Quýt | Mỗi người 1,5 trái
Phụ 2 | 250 | Phô mai – Bánh Quy | Mỗi người:1 cái bánh quy + 1 miếng phô mai tam giác
Tối | 600 | Pizza phở hải sản | 1 khẩu phần
Tráng miệng: Vải | Mỗi người 200g",,"Beef meat 200g, 150g cow, 100g beef ball, 10g goji berries, red apples 5 fruits, 1-stalk ginseng (5g), spinach 200g, pennywort 200g, taro 150g, served: lunch, yellow noodles, chao, satay, tangerine dessert, ready-to-season spice Aji-quick® beef hotpot, beef pitfly Last (5g), spinach 200g, pennywort 200g, taro 150g, served: lunch, yellow noodles, chao, satay, tangerine dessert, Aji-quick® beef hotpot"
Cá hồi ngâm rau củ chua ngọt,"Cá hồi: 300g, Lê: 1/2 trái, Táo đỏ: 1/2 trái, Hành tây: 1/2 củ, Gừng: 1M, Cần tây: 2M, Ớt sừng: 2M, Tiêu hạt: 1M, Tỏi: 1M, Gia vị:  tiêu, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Nước tương ""Phú Sĩ"", Giấm gạo lên men ""Ajinomoto"", Cá hồi: 300g, Lê: 1/2 trái, Táo đỏ: 1/2 trái, Hành tây: 1/2 củ, Gừng: 1M, Cần tây: 2M, Ớt sừng: 2M, Tiêu hạt: 1M, Tỏi: 1M, Gia vị:  tiêu, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Nước tương ""Phú Sĩ"", Giấm gạo lên men ""Ajinomoto""",,,Xếp cá hồi ra dĩa. Dùng làm món khai vị. Món ăn ngon đi kèm:Bánh gà chiên xốt mè,Sử dụng tiêu hạt cho nước ngâm giúp cân bằng tính hàn và nhiệt của món ăn.Vị chua (axit) của giấm và trái cây sẽ giúp cho cá chín tái.Cắt trái cây vào rau củ đều nhau giúp món ăn đẹp mắt hơn và dễ ăn.,,,"Salmon: 300g, pear: 1/2 left, red apple: 1/2 left, onions: 1/2 tubers, ginger: 1m, celery: 2m, chili horn: 2m, pepper: 1m, garlic: 1m, spices: pepper, cooking oil, Aji-ngon® pork seeds, Aji-no-moto® MSG, mayonnaise aji-mayo® original, soy rice "" 300g, pear: 1/2 left, red apple: 1/2 left, onions: 1/2 tubers, ginger: 1m, celery: 2m, chili horn: 2m, pepper: 1m, garlic: 1m, spices: pepper, cooking oil, Aji-ngon® pork seasoning seeds, Aji-no-moto® monosodium glutamate, mayonnaise aji-mayo® original flavor """
Sườn ram mặn,"Sườn non: 400g, Cà chua: 1 quả, Dưa leo: 1 quả, Hành lá, ớt sừng, Hành tím băm, tỏi băm, Dầu ăn,  nước mắm, Đường, tiêu, muối, Hạt nêm Aji-ngon® Heo, Sườn non: 400g, Cà chua: 1 quả, Dưa leo: 1 quả, Hành lá, ớt sừng, Hành tím băm, tỏi băm, Dầu ăn,  nước mắm, Đường, tiêu, muối, Hạt nêm Aji-ngon® Heo",,,,"Thắng nước màu trực tiếp với dầu trong chảo, sau đó cho thêm nước mắm vào, ta sẽ có một nước sauce có độ sánh vừa, ngon và thơm.Sườn non nên chọn miếng sườn có sụn nhỏ, nhiều thịt.",,,"Young ribs: 400g, tomatoes: 1 fruit, cucumber: 1 fruit, scallions, chili peppers, minced shallots, minced garlic, cooking oil, fish sauce, sugar, pepper, salt, Aji-ngon® seasoning seeds, young ribs: 400g, tomatoes: 1 fruit, cucumber: 1, green onion, chili, minced shallots, minced garlic, cooking oil, fish sauce"
Cánh gà rim hạt đác,"Cánh gà khúc giữa: 300g, Hạt đác tươi: 50g, Chanh dây: 1 trái, Hành tím băm: 2m, Tỏi băm: 2m, Nước mắm: 1M, Aji thịt kho: 1 gói, Đường: 1M, Gia vị nêm sẵn Aji-Quick® Thịt Kho, Cánh gà khúc giữa: 300g, Hạt đác tươi: 50g, Chanh dây: 1 trái, Hành tím băm: 2m, Tỏi băm: 2m, Nước mắm: 1M, Aji thịt kho: 1 gói, Đường: 1M, Gia vị nêm sẵn Aji-Quick® Thịt Kho",,"Phi thơm hành tỏi băm còn lại, cho cánh gà vào đảo đều đến khi săn, thêm hạt đác, nước và hạt chanh dây, 100ml nước lọc và phần Aji Thịt Kho còn lại. Rim đến khi sệt lại. Thêm hành lá cắt khúc, đảo đều.","Cho cánh gà lên dĩa, rưới xốt, hạt đác, hành lá lên mặt","Không ngâm, rửa đác bằng nước muối, chanh, giấm vì đác sẽ bị mặn, hoặc chua","Thực đơn xây dựng khối cơ xương​
2100 kcal. G:P:L=50:20:30​
NĂNG LƯỢNG ​ | MÓN ĂN ​ | THÀNH PHẦN NGUYÊN LIỆU​
Sáng | 600​​​ | Phở bò​ | 1 khẩu phần​
Trái cây: Nho Mỹ​ | 6 trái​
Cà phê – Sữa​ | ​
Phụ | 250​ | Bánh quy + phô mai​ | Mỗi người:1 cái bánh quy + 1 miếng phô mai tam giác​
Trưa | 650​​​​ | Cơm​ | 1.5 chén​
Rau Củ Xào Xốt Chay​ | 1/2 khẩu phần​
Cánh gà rim hạt đác (120 kcal)​ | ​
Canh Vịt Khoai Sọ​ | 3/4 khẩu phần​
Chiều | 450​​​ | Lẩu Cá Hồi Chanh Dây​ | 1 khẩu phần​
Ăn kèm Bún tươi​ | 1.5 chén​
Tráng miệng: Vú sữa​ | 1.5 trái​
Phụ | 150​ | Sữa tươi​ | 100ml​",,"Chicken wings in the middle: 300g, fresh seeds: 50g, passion fruit: 1 fruit, minced shallots: 2m, minced garlic: 2m, fish sauce: 1m, Aji meat braised: 1 pack, sugar: 1m, ready-to-season spice Aji-quick® meat bra Aji-quick® meat seasoning spices"
Bánh xèo cuốn áp chảo,"Thịt băm: 100g, Tôm sú lột vỏ: 100g, Bột bánh xèo: 1 gói, Giá sống: 50g, Măng luộc; 50g, Cà rốt: 20g, Hành lá, ngò rí, Hành tỏi băm, Ăn kèm: rau thơm, rau mầm, đồ chua, nước mắm chua ngọt, Tiêu, đường, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Thịt băm: 100g, Tôm sú lột vỏ: 100g, Bột bánh xèo: 1 gói, Giá sống: 50g, Măng luộc; 50g, Cà rốt: 20g, Hành lá, ngò rí, Hành tỏi băm, Ăn kèm: rau thơm, rau mầm, đồ chua, nước mắm chua ngọt, Tiêu, đường, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,,"Pha trước bột bánh xèo và để nơi không khí ẩm giúp bánh nở xốp.Xào nhân với lửa lớn để không bị ra nước, khi cuốn bánh sẽ giữa độ giòn lâu hơn.",,,"Minced meat: 100g, peeled tiger shrimp: 100g, pancakes: 1 pack, live price: 50g, boiled bamboo shoots; 50g, carrots: 20g, scallions, coriander, minced garlic onion, served: herbs, sprouts, sour food, sweet and sour fish sauce, pepper, sugar, cooking oil, Aji-Moto® MSG, Aji-ngon® seasoning seeds, mayonnaise aji-mayo® original taste, minced meat: 100g, tiger shrimp peeled: 100g, banh xeo flour: 50g, carrot: 20g, scallions, cilantro, minced garlic onion, served: herbs, sprouts, sour food, sweet and sour fish sauce, pepper, sugar, cooking oil, Aji-Moto® MSG, Aji-ngon® seasoning seeds, mayonnaise Aji-Mayo® original taste"
Đu đủ trộn gà khìa,"Gà ta     1/2 con, Đu đủ xanh bào sợi    200g, Xoài xanh    100g, Dưa leo    200g, Cà rốt     100g, Ớt sừng cắt sợi   1 trái, Nước dừa tươi    1 chén, Ăn kèm: bánh phồng tôm, Tỏi băm, ớt hiểm băm, lá chanh, hành tím phi, Dầu ăn, nước mắm, tương ớt, đường thốt nốt, đậu phộng rang, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Gà, Giấm gạo lên men ""Ajinomoto"", Gà ta     1/2 con, Đu đủ xanh bào sợi    200g, Xoài xanh    100g, Dưa leo    200g, Cà rốt     100g, Ớt sừng cắt sợi   1 trái, Nước dừa tươi    1 chén, Ăn kèm: bánh phồng tôm, Tỏi băm, ớt hiểm băm, lá chanh, hành tím phi, Dầu ăn, nước mắm, tương ớt, đường thốt nốt, đậu phộng rang, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Gà, Giấm gạo lên men ""Ajinomoto""",,"Trộn các loại rau củ với 2/3 lượng nước trộn, thêm thịt gà khìa, lá chanh, hành phi, đậu phộng rang và nước trộn còn lại.","Bày ra dĩa, ăn kèm bánh phồng tôm chiên.",Xẻ những chỗ dày trong thịt gà giúp thấm gia vị và chín đều.Sử dụng đường thốt nốt để giúp nước xốt có độ sánh và vị ngọt đậm đà.,,,"Chicken 1/2, green papaya yarn 200g, green mango 100g, cucumber 200g, carrot 100g, chili peppers cut 1 fruit, fresh coconut water 1 cup, served: shrimp chips, minced garlic, minced chili, lemon leaf, non-purple onion, cooking oil, fish sauce, palm sauce, jaggery, roasted peanuts, soy sauce ""Fuji Green cells of 200g, 100g green mango, cucumber 200g, carrot 100g, chili peppers with 1 fruit, fresh coconut water 1 cup, served with shrimp puff, minced garlic, minced chili, lemon leaf, non-shallots, cooking oil, fish sauce, chutney, jaggery, roasted peanuts, soy sauce, ""Fuji"", Aji-ngon® chicken vinegar """
Canh cá rô bông súng,"Cá rô:	600g, Cà chua:	1 trái, Bông súng:	100g, Kèo nèo:	60g, Tỏi băm:	1M, Ớt hiểm:	1 trái, RAU NÊM: Rau om, ngò gai, tỏi phi, Ăn kèm: Cơm, bún, Gia vị: Muối, đường, nước mắm, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Cá rô:	600g, Cà chua:	1 trái, Bông súng:	100g, Kèo nèo:	60g, Tỏi băm:	1M, Ớt hiểm:	1 trái, RAU NÊM: Rau om, ngò gai, tỏi phi, Ăn kèm: Cơm, bún, Gia vị: Muối, đường, nước mắm, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto""",,,,Cho giấm vào nấu chung với cá giúp khử mùi và làm canh thơm ngon hơn.Khứa trên thân cá 1 đường giúp cá mau chín.Dùng dầu phi tỏi ướp cá giúp khử mùi tanh.,,,"Perch: 600g, tomatoes: 1 fruit, lilies: 100g, rafters: 60g, minced garlic: 1m, chili dangerous: 1 fruit, vegetable seasoning: braised vegetables, coriander, garlic, served: rice, vermicelli, spice: salt, sugar, fish sauce, MSG AJI-NO-MOTO®, fermented rice vinegar ""Ajinomoto"", Gang tun Pepper: 1 fruit, seasoning vegetables: braised vegetables, cilantro, garlic, served: rice, noodles, spices: salt, sugar, fish sauce, Aji-no-moto® MSG, fermented rice vinegar ""Ajinomoto"""
Cánh gà xào ớt xiêm,"Cánh gà: 4 cánh, Ớt xiêm rừng ngâm giấm: 1M, Hành lá: 5 nhánh, Nấm mèo: 2 tai, Cà rốt: 1/2 củ, RAU NÊM: Rau om, ngò gai, ĂN KÈM: Cơm trắng, Gia vị: Dầu ăn, muối, đường, nước mắm, bột nghệ, Hạt nêm Aji-ngon® Gà, Cánh gà: 4 cánh, Ớt xiêm rừng ngâm giấm: 1M, Hành lá: 5 nhánh, Nấm mèo: 2 tai, Cà rốt: 1/2 củ, RAU NÊM: Rau om, ngò gai, ĂN KÈM: Cơm trắng, Gia vị: Dầu ăn, muối, đường, nước mắm, bột nghệ, Hạt nêm Aji-ngon® Gà","Cánh gà chặt miếng vừa ăn. Hành lá: phần lá xanh cắt khúc 3cm, phần đầu trắng băm nhỏ. Nấm mèo ngâm mềm, cắt nhỏ. Cà rốt tỉa bông, cắt lát mỏng.",,"Cho gà xào ớt xiêm ra dĩa, rắc hành lá, rau om, ngò gai lên trên, dùng nóng với cơm.","Luộc cánh gà với nước giấm ớt, muối, nghệ để thịt gà đẹp, thấm vị, thơm và giữ được độ ẩm sau khi xào.Xào ớt dậy mùi thơm rồi mới cho các nguyên liệu khác vào xào để món ăn có mùi vị đặc trưng của ớt xiêm rừng.Chọn cánh gà nhỏ để món ăn thấm vị bên trong. Có thể dùng phần khác của con gà như lòng, đùi ức tùy thích nhưng cánh là ngon nhất.",,,"Chicken wings: 4 wings, Siamese peppers soaked in vinegar: 1m, scallions: 5 branches, cat mushrooms: 2 ears, carrots: 1/2 tubers, vegetables: braised vegetables, cilantro, served with white rice, spices: cooking oil, salt, sugar, fish sauce, turmeric powder, Aji-ngon® chicken seeds, chicken wings: 4 wings, Siamese peppers soaked in vinegar Horns, served: white rice, spices: cooking oil, salt, sugar, fish sauce, turmeric powder, Aji-ngon® seasoning seeds"
Canh cá thác lác nấu hoa,"Cá thác lác: 150g, Cà chua: 1 trái, Bông bí: 50g, Bông hẹ: 50g, Bông thiên lý: 50g, Me: 50g, Hành lá: 4 đầu, Tỏi phi, ớt sừng, ngò gai, Rau om, muối, đường, nước mắm, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Cá thác lác: 150g, Cà chua: 1 trái, Bông bí: 50g, Bông hẹ: 50g, Bông thiên lý: 50g, Me: 50g, Hành lá: 4 đầu, Tỏi phi, ớt sừng, ngò gai, Rau om, muối, đường, nước mắm, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,,Thêm dầu phi tỏi vào cá thác lác sẽ giúp cá thơm và không bị khô.Nên cho các loại hoa vào sau khi nêm gia vị để hoa giữ được độ giòn và màu sắc.,,,"Lac fish: 150g, tomatoes: 1 fruit, pumpkin cotton: 50g, chives: 50g, natural cotton: 50g, tamarind: 50g, scallions: 4 heads, garlic, horns, cilantro, braised vegetables, salt, sugar, fish sauce, Aji-no-moto®, Aji-ngon® pork seeds, strabismus fish: 150g, cotton cotton Tam: 50g, scallions: 4 heads, non-garlic, horn chili, cilantro, braised vegetables, salt, sugar, fish sauce, Aji-no-moto® monosodium glutamate, Aji-ngon® pig seasoning seeds"
Xúc xích dưa cải,"Xúc xích Đức: 400g, Dưa cải: 1 cây, Hành tây tím: 1/2 củ nhỏ, Ớt chuông đỏ, vàng: 1/2 quả/loại, Hành boa-rô: 1/2 cây, Tỏi băm: 1M, RAU NÊM: Ngò rí, ĂN KÈM:	Nước tương, ớt xắt, Gia vị: Dầu ăn, dầu mè, tiêu, đường, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Heo, Xúc xích Đức: 400g, Dưa cải: 1 cây, Hành tây tím: 1/2 củ nhỏ, Ớt chuông đỏ, vàng: 1/2 quả/loại, Hành boa-rô: 1/2 cây, Tỏi băm: 1M, RAU NÊM: Ngò rí, ĂN KÈM:	Nước tương, ớt xắt, Gia vị: Dầu ăn, dầu mè, tiêu, đường, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Heo",,"Phi thơm 1M tỏi cho xúc xích và các loại rau vào xào chín. Nêm 1m Hạt nêm Aji-ngon® HEO, 1m đường, 1M nước tương “Phú Sĩ”, 1M dầu mè.","Cho ra đĩa rắc ít ngò, tiêu lên trên. Chấm thêm nước tương tùy vị.",Chỉ chần xúc xích qua nước nóng (Không sôi) để xúc xích không bị rách màng bao bên ngoài.Có thể thay thế các loại rau quả tùy thích để chế biến cùng với xúc xích và dưa cải.,,,"German sausage: 400g, sauerkraut: 1 tree, purple onion: 1/2 small tubers, red bell peppers, yellow: 1/2 fruit/type, Boa-onion: 1/2 trees, minced garlic: 1m, vegetable seasoning: coriander, served with: soy sauce, chopped chili, spices: cooking oil, sesame oil, pepper, sugar, soy sauce ""Fuji"", pork seeds, pork sauce Small tubers, red bell peppers, yellow: 1/2 fruits/type, Boa-sailes: 1/2 trees, minced garlic: 1m, vegetable seasoning: cilantro, served with: soy sauce, chili chili, spices: cooking oil, sesame oil, pepper, sugar, soy sauce """
Canh boaro nấu đậu hũ non,"Thịt nạc dăm : 100g, Boarô : 200g, Cà rốt : 50g, Đậu hũ non : 1 cây, Hành tím băm, ngò rí, Nước mắm, tiêu, đường, muối, dầu ăn, Bột ngọt AJI-NO-MOTO®, Thịt nạc dăm : 100g, Boarô : 200g, Cà rốt : 50g, Đậu hũ non : 1 cây, Hành tím băm, ngò rí, Nước mắm, tiêu, đường, muối, dầu ăn, Bột ngọt AJI-NO-MOTO®",,,,Cắt đậu hũ non hơi dày để tránh bị nát.Cho chút nước vào thịt nạc dăm trước khi xào để thịt mềm và tơi.,,,"Lean meat: 100g, Boar: 200g, carrots: 50g, young tofu: 1 tree, minced shallots, cilantro, fish sauce, pepper, sugar, salt, cooking oil, MSG AJI-NO-MOTO®, Lean meat: 100g, Boar: 200g, carrot: 50g, young tofu: 1 tree, minced pepper, pepper, water, water, water, water, water, water, water, water, pepper, water, water, water, water, water, water, pepper, water Aji-no-moto®"
Cá chuồn kho mít non,"Cá chuồn    2 con (khoảng 400g), Mít non    300g, Cà chua cắt hạt lựu  2 trái, Cà chua bi cắt đôi   100g, Thịt ba chỉ    100g, Ớt hiểm     4 trái, Hành lá    5 cây, Nước mía    2/3 chén, Nước màu điều    1M, Ớt bột, muối, đường  Nước mắm, dầu ăn, Bột ngọt AJI-NO-MOTO®, Cá chuồn    2 con (khoảng 400g), Mít non    300g, Cà chua cắt hạt lựu  2 trái, Cà chua bi cắt đôi   100g, Thịt ba chỉ    100g, Ớt hiểm     4 trái, Hành lá    5 cây, Nước mía    2/3 chén, Nước màu điều    1M, Ớt bột, muối, đường  Nước mắm, dầu ăn, Bột ngọt AJI-NO-MOTO®",,"Phi nóng 1M dầu ăn, cho 1/2 lượng cà chua cắt hạt lựu vào xào, nêm 1/2m đường, 1m muối, xào cho cà mềm, cho cá và thịt vào đảo vừa săn lại, thêm 1M nước màu điều, cho 2/3 chén nước mía và 1 chén nước vào săm sắp mặt cá, cho mít, phần cà chua còn lại và 2 trái ớt hiểm đập dập vào.","Múc cá ra đĩa, ăn kèm với cơm nóng.",Giã nhuyễn hỗn hợp gia vị để ướp cá giúp dễ thấm hương vị vào cá hơn.Lấy đầu hành đập dập nhét vào bụng cá để cá khi kho thơm ngon và không bị bể.,,,"2-fish dragonfly fish (about 400g), young jackfruit 300g, tomato cutting pomegranate seeds 2 fruits, tomatoes ball ball cut in half, bacon 100g, 4-dangerous chili peppers, 5-trees onion, 2/3 cup sugarcane, 1m colored water, chili powder, salt, fish sauce, Aji-no-Moto® MSG, 2-fish dragonfly (about 400g) 4 fruits, 5 leaf green onion, 2/3 cup sugarcane juice, 1m cashew water, chili powder, salt, fish sauce, cooking oil, Aji-no-Moto® monosodium glutamate"
Bún xào hải sản,"Bún khô		150g, Tôm sú		 	8 con (200g), Mực ống		1 con (200g), Củ hồi (fennel)		150g, Cà chua bi		50g, Hành tây 		1/2 củ, Ớt chuông vàng		1/3 trái, Trang trí: Ngò rí, Gia vị: Muối, đường, dầu ăn, tiêu, hành tỏi băm, nước cốt chanh, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®, Bún khô		150g, Tôm sú		 	8 con (200g), Mực ống		1 con (200g), Củ hồi (fennel)		150g, Cà chua bi		50g, Hành tây 		1/2 củ, Ớt chuông vàng		1/3 trái, Trang trí: Ngò rí, Gia vị: Muối, đường, dầu ăn, tiêu, hành tỏi băm, nước cốt chanh, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®",,"Phi thơm 2M hành tỏi băm với 2M dầu ăn, xào săn tôm mực, trút ra để riêng. Tiếp tục cho thêm 1M dầu vào chảo xào nhanh củ hồi, hành tây và cà chua bi, thêm bún xào nhanh tay, cho tôm mực trở lại, xốc đều. Tắt lửa.","Cho bún xào ra dĩa, rắc tiêu và ngò rí. Dùng kèm nước tương “Phú Sĩ” và ớt cắt lát.","Chọn củ hồi tươi, trắng, lá xanh là củ hồi ngon.Trộn gia vị với bún trước khi xào giúp gia vị thấm đều, món ăn sẽ ngon hơn.Xào củ hồi vừa chín tới để giữ được độ giòn và thơm.",,,"Dried vermicelli 150g, 8-shrimp tiger shrimp (200g), 1-cubic squid (200g), anise (fennel) 150g, 50g tomato tomato, 1/2 onions, 1/3 yellow bell peppers, decoration: cilantro, spice: salt, sugar, cooking oil, minced garlic onion, lemon juice, soy sauce ""Fuji"", Aji-Moto® MSG. (200g), anise (Fennel) 150g, tomato of 50g, onions 1/2 tubers, 1/3 yellow bell peppers, decoration: cilantro, spice: salt, sugar, cooking oil, pepper, minced garlic onion, lemon juice, soy sauce ""Fuji"", Aji-no-Moto® MSG"
Canh sườn khoai sọ,"Sườn non: 250g, Khoai sọ: 400g, Cà rốt: 50g, Đầu hành băm: 1M, Tỏi băm: 1M, Ngò gai, ngò om, tiêu, dầu ăn, Hạt nêm Aji-ngon® Heo, Sườn non: 250g, Khoai sọ: 400g, Cà rốt: 50g, Đầu hành băm: 1M, Tỏi băm: 1M, Ngò gai, ngò om, tiêu, dầu ăn, Hạt nêm Aji-ngon® Heo",,,,"Chọn khoai sọ củ nhỏ, tròn thì dẻo hơn, khi nấu sẽ thấm gia vị hơn.Rửa khoai sọ với nước bột năng hoặc nước vo gạo để sạch cát và đỡ ngứa tay.Xào sườn trước khi nấu canh để thịt ngọt và mau nhừ.",,,"Young ribs: 250g, taro: 400g, carrot: 50g, minced onion: 1m, minced garlic: 1m, cilantro, coriander, pepper, cooking oil, Aji-ngon® pork seasoning seeds, young ribs: 250g, taro: 400g, carrot carrot, minced onion: 1m, minced garlic: 1m, cilantro"
Lòng non xào nghệ,"Lòng heo non: 300g, Nghệ củ: 1 củ nhỏ, Bông hẹ: 100g, Hành tây: 1/2 củ, Bánh tráng mè nướng, Húng lủi, đậu phộng rang, Ớt hiểm, nước nghệ, Tỏi băm, Tiêu, dầu ăn, Hạt nêm Aji-ngon® Heo, Lòng heo non: 300g, Nghệ củ: 1 củ nhỏ, Bông hẹ: 100g, Hành tây: 1/2 củ, Bánh tráng mè nướng, Húng lủi, đậu phộng rang, Ớt hiểm, nước nghệ, Tỏi băm, Tiêu, dầu ăn, Hạt nêm Aji-ngon® Heo",,,,"Chọn lòng heo màu hồng nhạt, nhiều gân máu và đặc ruột là lòng heo ngon.Khi sơ chế lòng heo chú ý vuốt sạch lòng heo để lúc xào không bị ra nhiều bột.",,,"Young pig's heart: 300g, turmeric: 1 small tubers, shallots: 100g, onion: 1/2 tubers, grilled sesame rice paper, basil, roasted peanuts, chili, turmeric, minced garlic, pepper, cooking oil, Aji-ngon® pork seeds, young pig heart: 300g, turmeric tubers: 1 small tubers, chives: 100g, western, banh chili, sesame rice, saffron, saffron Minced garlic, pepper, cooking oil, Aji-ngon® pig seasoning seeds"
